Negara,Tanggal,Total Kasus,Total Kematian,Stringency Index,Populasi,GDP per Capita,Human Development Index
Serbia,2020-10-19,36160.0,776.0,50.93,6804596,14048.881,0.787
Seychelles,2020-10-16,149.0,0.0,36.11,98340,26382.287,0.797
Sierra Leone,2020-10-19,2330.0,73.0,22.22,7976985,1390.3,0.419
Singapore,2020-10-19,57911.0,28.0,52.78,5850343,85535.383,0.932
Slovakia,2020-10-19,29835.0,88.0,50.0,5459643,30155.152,0.855
Slovenia,2020-10-19,13683.0,161.0,45.37,2078932,31400.84,0.896
South Africa,2020-10-19,703793.0,18471.0,39.81,59308690,12294.876,0.699
South Korea,2020-10-19,25275.0,444.0,55.09,51269183,35938.374,0.903
South Sudan,2020-10-19,2842.0,55.0,35.19,11193729,1569.888,0.388
Spain,2020-10-16,936560.0,33775.0,55.09,46754783,34272.36,0.891
Sri Lanka,2020-10-19,5538.0,13.0,23.15,21413250,11669.077,0.77
Sudan,2020-10-14,13691.0,836.0,54.63,43849269,4466.507,0.502
Suriname,2020-10-19,5130.0,109.0,68.52,586634,13767.119,0.72
Swaziland,2020-10-19,5780.0,116.0,59.26,1160164,7738.975,0.588
Sweden,2020-10-16,103200.0,5918.0,37.04,10099270,46949.283,0.933
Switzerland,2020-10-19,74422.0,1823.0,35.19,8654618,57410.166,0.944
Tajikistan,2020-10-19,10493.0,80.0,36.11,9537642,2896.913,0.65
Tanzania,2020-05-08,509.0,21.0,50.0,59734213,2683.304,0.538
Thailand,2020-10-19,3691.0,59.0,43.52,69799978,16277.671,0.755
Timor,2020-10-13,29.0,0.0,29.63,1318442,6570.102,0.625
Togo,2020-10-19,2057.0,51.0,47.22,8278737,1429.813,0.503
Trinidad and Tobago,2020-10-19,5297.0,96.0,80.56,1399491,28763.071,0.784
Tunisia,2020-10-18,40542.0,626.0,40.74,11818618,10849.297,0.735
Turkey,2020-10-19,347493.0,9296.0,69.91,84339067,25129.341,0.791
Uganda,2020-10-19,10590.0,97.0,69.44,45741000,1697.707,0.516
Ukraine,2020-10-19,303638.0,5673.0,58.8,43733759,7894.393,0.751
United Arab Emirates,2020-10-19,115602.0,463.0,52.78,9890400,67293.483,0.863
United Kingdom,2020-10-19,722409.0,43646.0,67.59,67886004,39753.244,0.922
United States,2020-10-19,8154595.0,219674.0,62.5,331002647,54225.446,0.924
Uruguay,2020-10-19,2531.0,51.0,36.11,3473727,20551.409,0.804
Uzbekistan,2020-10-19,63430.0,529.0,62.96,33469199,6253.104,0.71
Venezuela,2020-10-19,86636.0,736.0,87.96,28435943,16745.022,0.761
Vietnam,2020-10-19,1134.0,35.0,51.85,97338583,6171.884,0.694
Yemen,2020-10-18,2059.0,597.0,45.37,29825968,1479.147,0.452
Zambia,2020-10-19,15853.0,346.0,44.44,18383956,3689.251,0.588
Zimbabwe,2020-10-19,8147.0,231.0,76.85,14862927,1899.775,0.535
